difficulty	halflife	p_recall	delta_t	reps	lapses	last_date	due_date	r_history	t_history	p_history	state	cost
5	366.2218	0.9253	41	3	0	48	408	1,1,1,1	0,3,10,35	0.61,0.89,0.86,0.82	[366.22177852355964, 5]	3
3	364.5756	0.9024	54	2	0	35	395	1,1,1	0,7,28	0.72,0.84,0.83	[364.5756157885422, 3]	2
10	387.5683	0.9964	2	7	1	87	447	0,0,1,1,1,1,1,1,1	0,1,1,1,3,9,16,47,9	0.34,0.43,0.47,0.90,0.86,0.82,0.87,0.81,0.98	[387.5683000435001, 12]	9
5	366.2218	0.9253	41	3	0	48	408	1,1,1,1	0,3,10,35	0.61,0.89,0.86,0.82	[366.22177852355964, 5]	3
2	374.8187	0.8966	59	3	0	30	390	0,1,1,1	0,1,5,24	0.78,0.83,0.85,0.84	[374.81870014267787, 2]	3
1	378.4996	0.8781	71	2	0	18	378	1,1,1	0,4,14	0.86,0.95,0.93	[378.4995647708584, 1]	2
2	378.2559	0.8942	61	2	0	28	388	1,1,1	0,6,22	0.78,0.89,0.88	[378.25594580003053, 2]	2
6	79.5273	0.9086	11	3	3	78	91	0,0,1,0,1,1,1,1,0,1,1,1	0,1,1,2,1,2,6,14,38,2,4,7	0.55,0.62,0.58,0.86,0.80,0.88,0.84,0.85,0.82,0.84,0.87,0.89	[79.52725729122609, 12]	14
8	322.2906	0.9097	44	5	2	89	100	1,1,0,1,1,0,1,1,1,1,1	0,2,7,1,3,6,1,3,8,14,44	0.44,0.88,0.83,0.86,0.84,0.88,0.87,0.84,0.83,0.87,0.80	[322.290571790785, 12]	12
5	368.7551	0.9276	40	5	0	49	409	0,1,1,1,1,1	0,1,2,5,10,31	0.61,0.68,0.89,0.90,0.91,0.87	[368.7551436009584, 5]	5
2	377.8069	0.9224	44	6	1	45	405	0,0,1,1,1,1,1,1	0,1,1,2,6,24,8,3	0.78,0.83,0.73,0.91,0.89,0.84,0.98,0.99	[377.8068841630078, 4]	8
5	146.9779	0.91	20	3	1	69	101	0,1,1,1,1,0,1,1,1	0,1,2,5,10,31,2,6,12	0.61,0.68,0.89,0.90,0.91,0.87,0.86,0.85,0.89	[146.97792301141143, 7]	9
10	367.5182	0.9703	16	6	0	73	433	0,1,1,1,1,1,1	0,1,2,4,7,16,43	0.34,0.43,0.83,0.88,0.90,0.88,0.84	[367.5182326640054, 10]	6
5	380.7536	0.9713	16	6	1	73	433	1,1,0,1,1,1,1,1,1	0,3,10,1,3,11,13,26,6	0.61,0.89,0.86,0.89,0.87,0.82,0.92,0.91,0.99	[380.75363945244476, 7]	9
10	367.5182	0.9703	16	6	0	73	433	0,1,1,1,1,1,1	0,1,2,4,7,16,43	0.34,0.43,0.83,0.88,0.90,0.88,0.84	[367.5182326640054, 10]	6
8	172.7393	0.9229	20	4	2	69	107	0,0,1,1,1,1,0,1,1,1,1	0,1,1,2,5,7,20,2,6,9,16	0.44,0.53,0.52,0.84,0.85,0.91,0.86,0.83,0.81,0.89,0.89	[172.7392524669084, 12]	12
1	378.4996	0.8781	71	2	0	18	378	1,1,1	0,4,14	0.86,0.95,0.93	[378.4995647708584, 1]	2
7	48.0006	0.9715	2	2	2	87	93	0,1,1,1,1,0,1,1,0,1,1	0,1,2,6,16,35,2,5,13,2,5	0.49,0.57,0.87,0.85,0.85,0.87,0.87,0.87,0.85,0.80,0.83	[48.00063187769287, 11]	12
7	367.2851	0.9432	31	4	0	58	418	1,1,1,1,1	0,3,6,13,36	0.49,0.85,0.89,0.89,0.86	[367.2850546328324, 7]	4
6	376.9891	0.9621	21	6	1	68	428	0,1,0,1,1,1,1,1,1	0,1,2,1,2,6,16,33,7	0.55,0.62,0.88,0.82,0.89,0.86,0.85,0.87,0.99	[376.9890692450249, 8]	9
4	370.0995	0.9192	45	4	0	44	404	0,1,1,1,1	0,1,3,8,32	0.66,0.73,0.86,0.89,0.83	[370.09947232165575, 4]	4
6	372.0628	0.9386	34	5	0	55	415	0,1,1,1,1,1	0,1,2,5,16,31	0.55,0.62,0.88,0.89,0.85,0.89	[372.06279030170253, 6]	5
2	378.2559	0.8942	61	2	0	28	388	1,1,1	0,6,22	0.78,0.89,0.88	[378.25594580003053, 2]	2
5	366.2218	0.9253	41	3	0	48	408	1,1,1,1	0,3,10,35	0.61,0.89,0.86,0.82	[366.22177852355964, 5]	3
5	366.2218	0.9253	41	3	0	48	408	1,1,1,1	0,3,10,35	0.61,0.89,0.86,0.82	[366.22177852355964, 5]	3
10	387.5683	0.9964	2	7	1	87	447	0,0,1,1,1,1,1,1,1	0,1,1,1,3,9,16,47,9	0.34,0.43,0.47,0.90,0.86,0.82,0.87,0.81,0.98	[387.5683000435001, 12]	9
9	71.6812	0.9904	1	3	4	88	106	0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1	0,1,1,3,9,16,1,3,1,1,1,3,6,11,17,2,4,8	0.39,0.48,0.92,0.88,0.84,0.88,0.91,0.87,0.83,0.72,0.92,0.86,0.87,0.88,0.90,0.85,0.86,0.86	[71.6811639595493, 17]	21
4	374.4909	0.9583	23	5	1	66	426	1,1,0,1,1,1,1,1	0,3,8,1,3,10,32,9	0.66,0.91,0.90,0.90,0.88,0.85,0.82,0.98	[374.49087532574885, 6]	8
5	366.2218	0.9253	41	3	0	48	408	1,1,1,1	0,3,10,35	0.61,0.89,0.86,0.82	[366.22177852355964, 5]	3
3	364.5756	0.9024	54	2	0	35	395	1,1,1	0,7,28	0.72,0.84,0.83	[364.5756157885422, 3]	2
9	152.674	0.8227	43	6	7	46	90	0,0,0,0,0,1,0,0,0,1,1,1,1,1,1	0,1,1,1,1,1,2,1,1,1,1,3,7,8,17	0.39,0.48,0.50,0.50,0.51,0.51,0.80,0.75,0.65,0.59,0.90,0.84,0.83,0.91,0.88	[152.67403845471298, 18]	21
9	369.3518	0.9596	22	5	0	67	427	1,1,1,1,1,1	0,2,5,8,17,35	0.39,0.86,0.86,0.91,0.89,0.88	[369.35175212990805, 9]	5
4	157.3036	0.9076	22	4	2	67	94	1,1,1,0,0,1,1,1,1	0,3,8,31,1,1,3,8,12	0.66,0.91,0.90,0.84,0.92,0.82,0.84,0.85,0.91	[157.3035642937596, 8]	10
6	79.5061	0.9657	4	3	3	85	98	1,1,0,0,1,1,1,1,0,1,1,1	0,3,6,2,1,2,6,14,38,2,4,7	0.55,0.87,0.90,0.80,0.76,0.87,0.84,0.85,0.82,0.84,0.87,0.89	[79.5061319601594, 12]	14
6	337.8904	0.9878	6	4	1	83	90	1,1,1,0,1,1,1,1	0,3,6,16,2,6,13,37	0.55,0.87,0.90,0.88,0.84,0.84,0.87,0.83	[337.8903731041247, 8]	8
3	363.058	0.9371	34	5	1	55	415	1,0,1,1,1,1,1	0,7,1,3,7,29,8	0.72,0.84,0.87,0.87,0.89,0.82,0.98	[363.057957508416, 5]	7
7	367.2851	0.9432	31	4	0	58	418	1,1,1,1,1	0,3,6,13,36	0.49,0.85,0.89,0.89,0.86	[367.2850546328324, 7]	4
6	371.2975	0.935	36	4	0	53	413	1,1,1,1,1	0,3,6,16,28	0.55,0.87,0.90,0.88,0.91	[371.2975025028532, 6]	4
8	370.1117	0.9543	25	4	0	64	424	1,1,1,1,1	0,2,7,14,41	0.44,0.88,0.83,0.87,0.83	[370.1117185361688, 8]	4
6	371.2975	0.935	36	4	0	53	413	1,1,1,1,1	0,3,6,16,28	0.55,0.87,0.90,0.88,0.91	[371.2975025028532, 6]	4
1	378.4996	0.8781	71	2	0	18	378	1,1,1	0,4,14	0.86,0.95,0.93	[378.4995647708584, 1]	2
4	369.3764	0.9156	47	3	0	42	402	1,1,1,1	0,3,8,31	0.66,0.91,0.90,0.84	[369.3763802085206, 4]	3
1	378.4996	0.8781	71	2	0	18	378	1,1,1	0,4,14	0.86,0.95,0.93	[378.4995647708584, 1]	2
9	375.4292	0.9853	8	6	1	81	441	1,0,1,1,1,1,1,1	0,2,1,3,7,17,46,5	0.39,0.86,0.80,0.82,0.84,0.84,0.81,0.99	[375.42919227930076, 11]	8
9	369.3518	0.9596	22	5	0	67	427	1,1,1,1,1,1	0,2,5,8,17,35	0.39,0.86,0.86,0.91,0.89,0.88	[369.35175212990805, 9]	5
8	384.4689	0.9892	6	7	1	83	443	1,1,0,1,1,1,1,1,1,1	0,2,7,1,3,6,13,17,29,5	0.44,0.88,0.83,0.86,0.84,0.88,0.87,0.92,0.91,0.99	[384.4688952226601, 10]	10
